0    0  1.000000000000E+00  0.000000000000E+00
1    0  0.000000000000E+00  0.000000000000E+00
1    1  0.000000000000E+00  0.000000000000E+00
2    0 -4.841552873200E-04  0.000000000000E+00
2    1 -3.103431067239E-10  1.410757509442E-09
2    2  2.439373415940E-06 -1.400294011836E-06
3    0  9.571647583412E-07  0.000000000000E+00
3    1  2.030446637169E-06  2.482406346848E-07
3    2  9.047646744100E-07 -6.190066246333E-07
3    3  7.212852551704E-07  1.414400065165E-06
4    0  5.399815392137E-07  0.000000000000E+00
4    1 -5.361808133703E-07 -4.735769769691E-07
4    2  3.504921442703E-07  6.625051657439E-07
4    3  9.908610311151E-07 -2.009508998058E-07
4    4 -1.884924225276E-07  3.088185785570E-07
5    0  6.865032345839E-08  0.000000000000E+00
5    1 -6.291457940968E-08 -9.434259860005E-08
5    2  6.520586031691E-07 -3.233430798143E-07
5    3 -4.518313784464E-07 -2.149423673602E-07
5    4 -2.953234091704E-07  4.981057884405E-08
5    5  1.748143504694E-07 -6.693546770160E-07
6    0 -1.499760561088E-07  0.000000000000E+00
6    1 -7.594326587940E-08  2.652568324970E-08
6    2  4.863560317995E-08 -3.737694732656E-07
6    3  5.725132649565E-08  8.973165407480E-09
6    4 -8.599693746901E-08 -4.714265243868E-07
6    5 -2.671631936205E-07 -5.364960380290E-07
6    6  9.479910716303E-09 -2.373836051441E-07
7    0  9.050081978964E-08  0.000000000000E+00
7    1  2.808862226242E-07  9.515975981430E-08
7    2  3.303955042002E-07  9.302028772833E-08
7    3  2.504633539604E-07 -2.170970757902E-07
7    4 -2.749863893199E-07 -1.240507052718E-07
7    5  1.646963866456E-09  1.793095777365E-08
7    6 -3.587986405913E-07  1.517928896273E-07
7    7  1.523058668200E-09  2.410304268724E-08
8    0  4.947832694955E-08  0.000000000000E+00
8    1  2.314075937568E-08  5.890500094123E-08
8    2  8.002045177501E-08  6.530008895179E-08
8    3 -1.935907847620E-08 -8.594159293661E-08
8    4 -2.443445870596E-07  6.981215609070E-08
8    5 -2.570161679615E-08  8.920563568797E-08
8    6 -6.597110047703E-08  3.089451104350E-07
8    7  6.725652648519E-08  7.486435363838E-08
8    8 -1.240325681248E-07  1.205402390474E-07
